Satellite ID,Satellite Type,Orbit Type,date time,Frequency Bands,Ground Station ID,Location (Latitude),Location (Longitude)),data,qubit,basis,measurement_result,Communication Protocols,Security Protocols,error_rate,timestamp
63323-412,navigation,Low Earth orbit (LEO),2/2/2021,VHF,60951-655,16.5,121.2666702,43,0,Z,0,CCSDS,IPsec,0.36,1/15/2022
52605-140,Earth observation,Low Earth orbit (LEO),10/20/2021,UHF,55910-356,48.7203863,33.0679837,99,0,X,0,AES,QKD,0.03,7/23/2022
61727-316,astronomical,Low Earth orbit (LEO),9/30/2022,UHF,43063-200,14.7596318,121.0589081,97,1,X,0,TCP/IP,IPsec,0.51,11/3/2022
41250-300,astronomical,geostationary transfer orbit (GTO),7/2/2022,Ku-band,55154-5361,57.6044065,35.9190561,97,1,Z,0,SLE,QKD,0.09,10/2/2022
22408-000,communication,geostationary orbit (GEO),3/7/2022,Ku-band,55154-5372,-8.5381,123.51,66,0,Z,1,SLE,IPsec,0.2,6/2/2022
43074-102,communication,geostationary orbit (GEO),2/12/2020,Ka-band,68151-1471,-29.5903512,31.1366715,100,1,X,0,TCP/IP,IPsec,0.1,1/14/2022
0268-1200,communication,geostationary orbit (GEO),9/19/2021,Ka-band,30142-254,32.7010866,-17.1340519,30,0,Z,0,AES,QKD,0.92,8/21/2022
50114-6150,Earth observation,Low Earth orbit (LEO),8/15/2021,UHF,67345-0681,40.6039378,141.3259605,19,1,Z,0,AES,QKD,0.89,11/6/2022
10812-404,communication,Low Earth orbit (LEO),3/9/2021,UHF,54305-840,42.34,-71.05,56,1,X,1,CCSDS,IPsec,0.75,12/12/2022
37000-761,Earth observation,medium Earth orbit (MEO),5/8/2021,VHF,65862-159,31.33343,108.377449,36,0,Z,1,TCP/IP,QKD,0.6,9/27/2022
49348-998,navigation,geostationary orbit (GEO),9/14/2022,VHF,54365-400,-22.4720256,-43.8273373,8,0,X,0,TCP/IP,QKD,0.78,2/4/2022
68151-3083,communication,Sun-synchronous orbit (SSO),1/25/2021,UHF,59886-320,49.3932119,15.8838159,79,1,Z,1,AES,IPsec,0.98,9/9/2022
48951-3102,navigation,geostationary orbit (GEO),9/4/2020,Ka-band,63629-4068,26.641315,100.222545,78,0,X,0,TCP/IP,IPsec,0.68,11/12/2022
52380-1614,astronomical,Low Earth orbit (LEO),8/12/2022,Ka-band,0187-5478,9.128588,124.672209,94,1,Z,0,SLE,QKD,0.34,8/3/2022
55289-315,Earth observation,Low Earth orbit (LEO),4/24/2022,VHF,55910-294,40.3620707,-8.5535343,59,0,Z,0,DVB-S2,IPsec,0.33,1/16/2022
58232-0517,astronomical,Low Earth orbit (LEO),9/27/2020,UHF,49349-463,37.2445983,22.5517042,23,1,X,0,CCSDS,QKD,0.94,7/26/2022
0093-7300,Earth observation,medium Earth orbit (MEO),10/2/2020,Ka-band,10078-001,50.24417,21.77627,36,1,X,1,SLE,QKD,0.76,6/19/2022
41163-195,navigation,Low Earth orbit (LEO),5/23/2021,Ka-band,52731-7026,33.7311229,130.5200852,82,0,Z,0,SLE,QKD,0.15,5/22/2022
65044-5102,astronomical,geostationary transfer orbit (GTO),4/1/2021,UHF,0904-6097,52.695844,62.5884412,100,0,X,1,AES,QKD,0.78,5/9/2022
63459-391,Earth observation,Sun-synchronous orbit (SSO),12/24/2022,Ka-band,63029-713,-6.6655005,107.627451,32,0,Z,0,AES,QKD,0.99,7/29/2022
51991-713,navigation,Low Earth orbit (LEO),9/8/2021,Ka-band,0054-8739,61.5095512,23.0108503,61,1,Z,1,AES,IPsec,0.8,10/27/2022
54738-952,Earth observation,medium Earth orbit (MEO),2/1/2022,UHF,51143-213,22.299866,113.058484,41,0,X,1,DVB-S2,IPsec,0.46,1/8/2022
46122-032,astronomical,Sun-synchronous orbit (SSO),11/2/2020,VHF,43455-0010,29.673196,110.73404,47,1,X,0,SLE,IPsec,0.66,11/4/2022
10370-195,astronomical,Low Earth orbit (LEO),10/5/2021,Ku-band,65044-2482,28.6882677,77.1349293,10,0,Z,0,DVB-S2,QKD,0.56,12/28/2022
52731-7043,communication,geostationary orbit (GEO),2/6/2021,Ka-band,59579-010,30.641073,118.315476,83,0,X,1,SLE,IPsec,0.96,12/27/2022
68428-131,Earth observation,Low Earth orbit (LEO),8/12/2020,UHF,49288-0186,46.5067026,83.6616699,36,0,X,1,CCSDS,IPsec,0.11,8/20/2022
49035-188,communication,geostationary orbit (GEO),6/2/2020,Ka-band,43857-0241,30.184907,121.227926,46,1,Z,1,DVB-S2,QKD,0.33,9/26/2022
52125-795,Earth observation,Low Earth orbit (LEO),9/24/2020,VHF,55154-0909,45.477613,124.47553,79,0,Z,1,SLE,QKD,0.72,6/13/2022
0179-0045,navigation,geostationary orbit (GEO),2/15/2020,UHF,76237-275,15.1858624,120.5896151,80,0,Z,1,DVB-S2,QKD,0.71,7/8/2022
68180-902,astronomical,geostationary transfer orbit (GTO),4/2/2022,Ka-band,41163-690,-6.8646647,107.5889804,98,1,X,0,SLE,IPsec,0.92,8/12/2022
63629-5415,astronomical,Low Earth orbit (LEO),5/5/2022,VHF,0781-5806,32.704922,115.970718,83,0,Z,0,CCSDS,IPsec,0.72,4/22/2022
0143-2128,communication,Low Earth orbit (LEO),4/3/2021,Ka-band,68828-179,-22.570834,-47.4147321,55,1,X,0,TCP/IP,QKD,0.1,11/8/2022
51439-005,communication,Sun-synchronous orbit (SSO),7/28/2021,Ka-band,41520-333,34.168846,119.222197,78,0,Z,0,CCSDS,QKD,0.95,2/2/2022
64117-193,navigation,geostationary transfer orbit (GTO),3/13/2022,UHF,43063-531,44.326388,85.619416,86,0,X,1,SLE,QKD,0.63,6/20/2022
54868-2296,communication,geostationary orbit (GEO),7/9/2022,UHF,54473-241,-7.740099,-40.2884386,1,0,Z,1,CCSDS,IPsec,0.86,10/8/2022
49643-818,astronomical,Low Earth orbit (LEO),2/2/2022,UHF,55154-5894,50.1267067,45.4468585,28,1,X,0,SLE,IPsec,0.22,6/15/2022
67345-0511,Earth observation,Sun-synchronous orbit (SSO),10/28/2022,Ka-band,63629-3610,28.423436,109.006211,36,0,X,1,DVB-S2,IPsec,0.04,6/17/2022
52125-925,Earth observation,geostationary orbit (GEO),6/9/2020,UHF,55316-158,39.029567,117.661082,3,0,X,0,AES,QKD,0.28,12/24/2022
43742-0136,astronomical,Sun-synchronous orbit (SSO),1/8/2020,Ka-band,63629-4582,41.4378689,2.196618,100,1,X,0,CCSDS,QKD,0.79,11/23/2022
62818-101,navigation,medium Earth orbit (MEO),7/8/2020,VHF,33237-001,10.3840217,11.0966373,55,1,X,1,DVB-S2,IPsec,0.0,4/8/2022
50600-004,communication,Low Earth orbit (LEO),7/28/2020,Ku-band,52125-493,43.6865336,43.5192652,36,1,Z,1,TCP/IP,IPsec,0.73,7/13/2022
61047-824,Earth observation,medium Earth orbit (MEO),12/31/2021,UHF,0268-0935,43.2574658,18.1123652,57,0,X,1,DVB-S2,QKD,0.77,11/13/2022
68828-123,communication,Sun-synchronous orbit (SSO),1/19/2021,Ka-band,65954-554,-20.2197867,-40.2721884,1,0,Z,0,TCP/IP,IPsec,0.0,10/9/2022
36987-3360,navigation,Sun-synchronous orbit (SSO),7/21/2022,UHF,42254-268,5.414515,100.329744,38,1,X,0,CCSDS,QKD,0.18,2/14/2022
53041-152,Earth observation,geostationary orbit (GEO),1/20/2020,Ku-band,64679-923,30.453667,114.872199,86,0,Z,1,TCP/IP,IPsec,0.24,2/12/2022
75932-1001,navigation,geostationary transfer orbit (GTO),5/9/2022,UHF,0703-0405,22.9758497,90.6962853,49,0,X,0,AES,QKD,0.58,4/28/2022
69154-060,Earth observation,Low Earth orbit (LEO),3/17/2022,VHF,66336-608,41.63514,48.4401128,76,1,Z,1,CCSDS,IPsec,0.22,3/11/2022
21695-606,navigation,Sun-synchronous orbit (SSO),3/18/2020,UHF,11673-352,29.117096,110.479191,42,0,Z,0,DVB-S2,IPsec,0.81,9/14/2022
51439-004,astronomical,geostationary transfer orbit (GTO),5/25/2022,Ka-band,63354-290,-30.9348444,30.3046289,48,0,X,1,DVB-S2,IPsec,0.1,11/8/2022
98132-723,communication,Sun-synchronous orbit (SSO),12/12/2020,UHF,0037-8140,33.347316,120.16366,63,0,Z,0,AES,IPsec,0.46,6/1/2022
50563-145,Earth observation,medium Earth orbit (MEO),4/28/2021,UHF,25021-703,58.6841957,15.7513324,32,1,Z,1,TCP/IP,IPsec,0.71,8/20/2022
52244-010,navigation,Sun-synchronous orbit (SSO),6/19/2020,UHF,50302-200,19.238934,108.957345,63,0,Z,1,SLE,QKD,0.66,6/21/2022
49281-709,communication,medium Earth orbit (MEO),8/4/2020,UHF,52343-003,30.8346,117.552738,57,1,X,1,AES,QKD,0.48,5/16/2022
0310-0272,Earth observation,medium Earth orbit (MEO),8/29/2020,Ku-band,17312-020,43.3851754,-80.4882672,98,1,X,1,SLE,IPsec,0.39,8/10/2022
0378-0221,Earth observation,Low Earth orbit (LEO),1/15/2021,UHF,55926-0016,-25.6707073,-54.7412036,73,0,X,1,AES,QKD,0.65,8/31/2022
52125-686,astronomical,geostationary transfer orbit (GTO),2/7/2022,UHF,30142-668,39.157329,117.244541,95,1,X,1,AES,IPsec,0.4,11/3/2022
69041-004,communication,medium Earth orbit (MEO),4/23/2020,VHF,0409-4346,37.377139,97.369751,25,0,X,0,SLE,IPsec,1.0,12/19/2022
36987-2786,communication,geostationary transfer orbit (GTO),8/23/2021,Ku-band,33261-366,-10.7507694,-77.7595131,55,0,X,0,CCSDS,QKD,0.57,8/16/2022
50563-120,Earth observation,geostationary transfer orbit (GTO),10/24/2020,UHF,63736-902,-5.0776795,32.0695406,46,0,X,1,CCSDS,QKD,0.01,2/3/2022
30142-360,Earth observation,geostationary transfer orbit (GTO),6/12/2021,Ku-band,43063-373,58.0312993,38.6043668,17,1,X,1,CCSDS,QKD,0.7,6/8/2022
55289-600,navigation,Low Earth orbit (LEO),8/23/2021,Ku-band,64720-215,29.990948,116.659999,33,0,X,0,CCSDS,IPsec,0.17,8/27/2022
51672-4052,communication,Low Earth orbit (LEO),2/21/2021,UHF,37000-253,9.016675,-10.59317,83,1,X,0,CCSDS,QKD,0.95,2/22/2022
55154-2872,communication,Sun-synchronous orbit (SSO),8/17/2021,VHF,41167-0501,40.316139,115.545296,45,1,Z,1,CCSDS,QKD,0.83,4/7/2022
0268-0952,communication,Low Earth orbit (LEO),4/24/2021,Ka-band,55316-174,29.857996,107.081282,50,1,Z,1,TCP/IP,QKD,0.36,8/22/2022
0781-1077,Earth observation,Low Earth orbit (LEO),2/8/2020,VHF,57344-155,28.154453,82.3234843,51,1,X,1,TCP/IP,QKD,0.11,5/19/2022
37000-555,Earth observation,Sun-synchronous orbit (SSO),12/25/2020,VHF,64117-240,18.4762228,-77.8938895,98,0,Z,1,AES,QKD,0.72,9/27/2022
11673-335,communication,Sun-synchronous orbit (SSO),5/24/2020,VHF,53808-0347,40.78276,43.80583,30,1,Z,0,CCSDS,IPsec,0.09,4/14/2022
58223-517,Earth observation,Sun-synchronous orbit (SSO),10/19/2021,VHF,48883-005,57.9891702,16.3106228,10,1,Z,1,DVB-S2,IPsec,0.81,8/14/2022
53208-418,astronomical,geostationary orbit (GEO),12/9/2021,UHF,52546-110,34.5724074,107.0351315,12,1,Z,0,TCP/IP,QKD,0.13,2/20/2022
42221-0012,Earth observation,medium Earth orbit (MEO),12/21/2022,UHF,0363-0695,8.9679001,-71.2740573,55,1,Z,1,CCSDS,QKD,0.81,8/3/2022
60760-463,communication,geostationary transfer orbit (GTO),9/26/2020,UHF,0093-5852,32.318255,109.715304,2,1,Z,1,SLE,QKD,0.85,3/13/2022
13537-443,astronomical,Sun-synchronous orbit (SSO),9/30/2020,Ku-band,0615-1359,59.9382805,30.3066377,28,0,X,0,AES,QKD,0.23,11/21/2022
51531-8360,Earth observation,geostationary orbit (GEO),4/17/2022,Ka-band,68572-6005,30.641073,118.315476,97,0,X,1,TCP/IP,QKD,0.27,5/2/2022
10237-831,astronomical,Sun-synchronous orbit (SSO),3/16/2021,Ka-band,33261-104,31.207751,121.293544,78,0,X,1,DVB-S2,QKD,0.41,11/12/2022
62670-4805,communication,Sun-synchronous orbit (SSO),9/3/2021,Ku-band,59735-300,-3.0029841,115.9467997,37,1,X,1,TCP/IP,IPsec,0.88,10/2/2022
11673-645,navigation,medium Earth orbit (MEO),1/30/2022,Ku-band,52083-055,37.198731,106.1580937,81,1,X,0,TCP/IP,QKD,0.21,7/25/2022
53645-1111,astronomical,medium Earth orbit (MEO),7/31/2021,Ku-band,0363-0002,19.3267846,-98.9145313,11,1,X,1,AES,QKD,0.87,5/24/2022
21695-162,astronomical,geostationary orbit (GEO),8/21/2020,Ka-band,17089-025,52.55694,17.0351289,64,0,Z,0,SLE,IPsec,0.64,2/7/2022
63783-500,navigation,medium Earth orbit (MEO),7/16/2020,VHF,50563-182,62.4155589,17.3480388,88,0,Z,0,DVB-S2,IPsec,0.94,3/6/2022
0009-0018,communication,medium Earth orbit (MEO),4/14/2021,Ku-band,70253-016,-5.8508719,13.4627375,57,1,X,1,AES,IPsec,0.59,12/11/2022
13925-169,Earth observation,Low Earth orbit (LEO),1/22/2021,Ku-band,36987-3398,45.5825837,17.9517519,3,1,Z,0,DVB-S2,QKD,0.09,8/20/2022
36987-3334,Earth observation,Sun-synchronous orbit (SSO),3/30/2021,Ka-band,10237-625,41.811711,97.030217,34,0,Z,0,AES,IPsec,0.54,4/29/2022
54569-0322,navigation,geostationary transfer orbit (GTO),5/17/2021,VHF,67239-0206,60.9847449,76.4585878,39,1,Z,0,CCSDS,IPsec,0.72,8/18/2022
52891-100,communication,medium Earth orbit (MEO),2/6/2022,Ku-band,76439-243,13.1225519,5.5053129,43,1,X,0,SLE,QKD,0.53,8/3/2022
51523-017,communication,Sun-synchronous orbit (SSO),10/25/2022,VHF,68258-7154,-7.3,109.066667,91,0,Z,0,TCP/IP,QKD,0.98,7/13/2022
52125-286,astronomical,Low Earth orbit (LEO),7/13/2020,VHF,76237-296,-6.238218,-36.4797126,45,1,X,1,CCSDS,IPsec,0.33,5/25/2022
49288-0141,Earth observation,geostationary transfer orbit (GTO),1/15/2021,Ku-band,63049-103,5.0172519,-72.189,33,0,X,1,TCP/IP,IPsec,0.37,7/16/2022
53150-247,communication,geostationary transfer orbit (GTO),10/28/2020,Ka-band,64249-0003,59.3595369,17.9873583,76,0,Z,1,CCSDS,IPsec,0.21,1/17/2022
46122-181,navigation,geostationary transfer orbit (GTO),8/19/2022,UHF,57337-048,53.3490502,56.0574649,87,0,X,1,DVB-S2,QKD,0.67,12/8/2022
59535-7201,navigation,medium Earth orbit (MEO),5/26/2021,Ku-band,49348-521,31.8974232,54.3568562,7,1,Z,1,CCSDS,QKD,0.77,1/4/2022
57520-0764,Earth observation,geostationary orbit (GEO),1/17/2022,UHF,45802-110,47.7016459,37.4209877,66,0,Z,1,TCP/IP,QKD,0.41,8/18/2022
0904-5880,Earth observation,geostationary transfer orbit (GTO),7/6/2020,UHF,59450-200,55.61667,23.18333,36,0,Z,0,AES,IPsec,0.29,6/9/2022
49348-003,astronomical,Sun-synchronous orbit (SSO),2/24/2020,Ka-band,49349-395,8.6800991,-82.855251,78,0,Z,1,AES,QKD,0.59,11/26/2022
49726-021,communication,medium Earth orbit (MEO),1/6/2020,UHF,24236-846,43.4945737,5.8978018,40,0,X,0,AES,QKD,0.15,3/3/2022
68084-617,astronomical,geostationary orbit (GEO),12/21/2020,Ka-band,31720-207,10.1310658,106.3311197,60,0,Z,0,SLE,QKD,0.37,10/7/2022
0615-7639,astronomical,Low Earth orbit (LEO),12/26/2022,Ka-band,61935-001,14.637422,-91.141982,8,0,X,1,SLE,QKD,0.73,1/12/2022
65044-1082,navigation,Low Earth orbit (LEO),4/19/2021,VHF,0904-5307,48.7700185,2.3508225,3,0,X,1,TCP/IP,IPsec,0.15,2/27/2022
49348-957,communication,Low Earth orbit (LEO),11/17/2022,UHF,49288-0463,26.567944,106.714374,26,1,Z,1,TCP/IP,IPsec,0.53,3/29/2022
22700-127,Earth observation,Low Earth orbit (LEO),10/23/2021,Ka-band,42543-700,27.330904,117.044081,92,1,Z,1,CCSDS,QKD,0.16,11/2/2022
0703-2914,communication,geostationary transfer orbit (GTO),5/25/2022,UHF,52125-517,48.6853182,6.1519039,14,1,X,0,CCSDS,QKD,0.64,9/20/2022
44567-504,Earth observation,geostationary orbit (GEO),6/14/2020,Ka-band,0096-0736,7.2992002,125.157404,80,0,Z,1,TCP/IP,IPsec,0.87,5/2/2022
65841-716,astronomical,Low Earth orbit (LEO),2/15/2021,UHF,55910-384,47.4115468,18.880086,23,1,Z,0,AES,QKD,0.13,11/25/2022
0186-0917,communication,Sun-synchronous orbit (SSO),7/6/2021,Ka-band,57520-0214,-26.5090889,17.1514061,73,0,X,0,SLE,QKD,0.97,11/14/2022
0078-0126,navigation,Low Earth orbit (LEO),6/8/2021,Ka-band,36987-2433,37.5568153,139.747389,89,1,X,1,AES,IPsec,0.57,6/29/2022
55289-520,communication,Sun-synchronous orbit (SSO),12/11/2020,Ku-band,54622-389,42.6629138,21.1655028,47,0,X,1,TCP/IP,QKD,0.05,11/15/2022
55154-9440,astronomical,geostationary orbit (GEO),2/21/2020,Ka-band,60505-0159,0.3179939,109.4259114,73,0,X,1,CCSDS,QKD,0.71,4/3/2022
61314-225,navigation,geostationary transfer orbit (GTO),5/25/2020,UHF,10742-8123,22.996513,113.823603,27,1,X,1,AES,IPsec,0.78,4/12/2022
49288-0321,astronomical,geostationary transfer orbit (GTO),1/24/2020,UHF,61010-1111,27.7703677,-82.6356732,34,1,X,1,TCP/IP,IPsec,0.64,7/4/2022
45802-216,navigation,Sun-synchronous orbit (SSO),11/14/2022,VHF,76420-730,-9.6701,119.0511,64,1,Z,1,TCP/IP,IPsec,0.34,8/19/2022
49035-384,communication,geostationary orbit (GEO),2/26/2022,Ku-band,51079-129,-8.8474131,34.834821,7,0,X,0,DVB-S2,QKD,0.35,5/1/2022
58370-1012,astronomical,geostationary transfer orbit (GTO),4/29/2021,Ka-band,49738-350,48.8865404,2.215722,85,1,X,1,SLE,QKD,0.16,11/9/2022
0168-0204,communication,geostationary transfer orbit (GTO),11/8/2020,Ka-band,0904-6156,34.9852597,133.4885513,6,0,Z,0,TCP/IP,IPsec,0.54,6/11/2022
59528-0317,navigation,Sun-synchronous orbit (SSO),3/22/2022,Ka-band,70253-226,58.251749,57.612388,91,1,X,1,CCSDS,QKD,0.2,12/28/2022
13734-121,communication,medium Earth orbit (MEO),12/29/2021,VHF,29978-601,25.867277,118.963532,49,0,Z,1,DVB-S2,QKD,0.38,4/26/2022
43455-0006,astronomical,geostationary orbit (GEO),3/11/2021,Ku-band,68472-141,-22.9106154,44.5266466,96,0,X,1,DVB-S2,IPsec,0.4,2/3/2022
67046-098,astronomical,Low Earth orbit (LEO),6/6/2021,Ku-band,62670-4836,50.6735414,21.0463888,93,0,Z,0,DVB-S2,IPsec,0.88,2/10/2022
59779-062,astronomical,geostationary orbit (GEO),12/6/2021,Ka-band,0115-0522,50.9076315,128.4136847,56,1,X,1,TCP/IP,IPsec,0.69,6/7/2022
36987-3135,communication,geostationary orbit (GEO),4/11/2021,VHF,21695-604,40.4140806,-8.738467,85,1,Z,1,AES,QKD,0.6,2/15/2022
66613-8142,Earth observation,Sun-synchronous orbit (SSO),8/12/2022,Ka-band,0591-2708,22.6611943,-102.9937166,80,0,X,0,AES,IPsec,0.93,7/31/2022
61727-342,Earth observation,geostationary orbit (GEO),4/26/2021,Ku-band,0052-0315,-8.4855,115.2265,33,1,X,1,TCP/IP,IPsec,0.65,7/17/2022
60760-346,astronomical,Low Earth orbit (LEO),12/6/2021,Ka-band,0268-6526,55.583006,13.0105903,21,1,Z,0,TCP/IP,QKD,0.34,4/30/2022
41250-247,communication,geostationary orbit (GEO),3/13/2022,Ku-band,41190-117,14.628828,121.1217909,13,1,X,0,DVB-S2,IPsec,0.39,4/30/2022
68828-090,Earth observation,geostationary orbit (GEO),4/24/2021,Ku-band,64117-208,51.4986953,-0.1550173,83,1,X,1,TCP/IP,IPsec,0.36,10/29/2022
60681-3006,communication,geostationary transfer orbit (GTO),11/1/2021,VHF,12634-166,13.5681668,-89.1158008,74,1,Z,0,TCP/IP,QKD,0.31,9/14/2022
55154-4759,astronomical,Sun-synchronous orbit (SSO),12/5/2022,Ka-band,42291-714,57.2588115,40.8141102,97,1,Z,0,AES,IPsec,0.17,3/22/2022
57687-304,Earth observation,geostationary orbit (GEO),2/22/2021,Ku-band,0406-8961,40.608793,115.099494,15,0,X,0,CCSDS,QKD,0.74,4/26/2022
25021-600,navigation,medium Earth orbit (MEO),10/1/2020,Ku-band,64117-240,56.9846069,16.3374996,24,1,Z,1,SLE,IPsec,0.9,12/30/2022
62802-291,navigation,geostationary transfer orbit (GTO),9/1/2021,Ku-band,68151-5652,9,-77.86667,82,0,Z,1,AES,QKD,0.47,10/2/2022
52544-284,Earth observation,geostationary transfer orbit (GTO),4/23/2021,Ka-band,42254-176,33.7443314,36.7011138,40,0,X,0,TCP/IP,IPsec,0.22,6/5/2022
41250-913,navigation,geostationary transfer orbit (GTO),2/9/2021,UHF,65841-046,59.2803437,18.2849323,22,1,Z,0,SLE,IPsec,1.0,7/8/2022
40104-351,navigation,medium Earth orbit (MEO),9/29/2020,Ku-band,49884-197,38.3628307,-0.5210565,10,0,Z,0,SLE,QKD,0.02,2/25/2022
65044-5222,Earth observation,Sun-synchronous orbit (SSO),1/3/2022,Ku-band,0013-2656,35.218292,106.653158,53,1,X,1,SLE,QKD,0.17,6/7/2022
0067-6441,communication,Low Earth orbit (LEO),6/14/2020,VHF,0259-1139,31.784701,87.236772,26,0,X,0,SLE,IPsec,0.98,1/9/2022
58301-181,Earth observation,Sun-synchronous orbit (SSO),7/4/2022,Ku-band,0338-0519,35.83339,102.6395,78,1,X,1,CCSDS,IPsec,0.87,4/11/2022
37808-825,navigation,geostationary orbit (GEO),11/26/2022,UHF,0113-0046,-6.7338751,111.3471022,72,0,Z,1,TCP/IP,IPsec,0.25,5/26/2022
42291-550,astronomical,medium Earth orbit (MEO),8/9/2022,Ka-band,53217-024,52.1316395,23.0297501,59,1,Z,1,DVB-S2,IPsec,0.04,9/13/2022
59535-6001,navigation,Low Earth orbit (LEO),8/4/2020,Ka-band,54868-2451,5.8874488,10.0191857,54,1,Z,1,TCP/IP,IPsec,0.92,5/8/2022
48951-8023,communication,Low Earth orbit (LEO),10/24/2021,UHF,64092-870,41.4009304,-8.335096,43,0,Z,0,DVB-S2,QKD,0.81,12/18/2022
0085-0566,Earth observation,Sun-synchronous orbit (SSO),12/25/2022,UHF,75847-1703,29.509067,110.300741,65,0,X,0,CCSDS,IPsec,0.05,1/7/2022
54638-0001,communication,Sun-synchronous orbit (SSO),4/15/2020,Ka-band,13537-495,39.1168675,-9.2011356,49,0,X,0,DVB-S2,IPsec,0.08,10/6/2022
62839-0369,navigation,geostationary orbit (GEO),3/2/2021,Ka-band,49614-175,35.3085456,25.5207204,2,1,X,0,SLE,QKD,0.46,10/4/2022
50466-575,astronomical,geostationary transfer orbit (GTO),5/12/2022,Ku-band,52959-099,51.7454,15.5984299,86,0,X,0,TCP/IP,IPsec,0.86,1/26/2022
49349-607,Earth observation,geostationary orbit (GEO),5/7/2020,Ku-band,42507-217,39.3045749,-7.7271881,66,0,X,1,SLE,IPsec,0.98,11/28/2022
59115-093,astronomical,geostationary orbit (GEO),4/10/2022,Ku-band,68788-9172,-0.69832,-77.14083,56,0,Z,1,CCSDS,IPsec,0.35,6/15/2022
60429-368,communication,Low Earth orbit (LEO),11/27/2021,VHF,55754-123,59.305486,18.0023078,69,0,X,0,DVB-S2,QKD,0.57,4/21/2022
63304-539,astronomical,Sun-synchronous orbit (SSO),10/10/2021,VHF,60760-788,29.1513922,31.1366715,37,1,X,1,AES,IPsec,0.72,12/9/2022
48951-1124,astronomical,medium Earth orbit (MEO),10/15/2022,UHF,68084-213,-26.58041,-59.63094,3,0,Z,1,SLE,QKD,0.21,3/25/2022
60432-133,Earth observation,geostationary transfer orbit (GTO),5/28/2022,VHF,0009-5400,42.849628,-71.1049505,40,0,Z,0,TCP/IP,QKD,0.04,7/21/2022
10812-953,astronomical,Sun-synchronous orbit (SSO),5/27/2022,Ka-band,50942-001,53.7369009,-6.4241156,71,1,Z,1,SLE,IPsec,0.24,3/16/2022
15127-268,navigation,medium Earth orbit (MEO),1/16/2020,VHF,58118-0905,-18.4943258,-40.4657826,63,0,Z,1,AES,IPsec,0.68,7/17/2022
68001-198,communication,Sun-synchronous orbit (SSO),11/22/2020,Ka-band,54340-777,50.0201,20.1093853,68,1,Z,1,DVB-S2,IPsec,0.92,11/27/2022
59886-336,astronomical,Low Earth orbit (LEO),5/30/2021,Ka-band,65342-1391,34.6870111,-5.4502624,88,1,Z,1,DVB-S2,QKD,0.03,3/22/2022
54575-139,astronomical,Sun-synchronous orbit (SSO),5/2/2021,Ku-band,0039-0037,-8.784797,115.193565,53,0,X,1,AES,IPsec,0.71,3/28/2022
67239-0202,Earth observation,Sun-synchronous orbit (SSO),6/17/2020,Ku-band,58443-0024,14.5672317,121.0298199,36,0,Z,1,SLE,QKD,0.31,4/30/2022
